Time,Temperature
2021-06-01-00:10,39.72
2021-06-01-00:25,39.23
2021-06-01-00:40,39.94
2021-06-01-00:55,39.57
2021-06-01-01:10,39.99
2021-06-01-01:25,39.25
2021-06-01-01:40,39.87
2021-06-01-01:55,39.16
2021-06-01-02:10,39.14
2021-06-01-02:25,39.15
2021-06-01-02:40,39.74
2021-06-01-02:55,39.94
2021-06-01-03:10,39.94
2021-06-01-03:25,39.63
2021-06-01-03:40,39.16
2021-06-01-03:55,39.78
2021-06-01-04:10,39.58
2021-06-01-04:25,39.87
2021-06-01-04:40,39.81
2021-06-01-04:55,39.9
2021-06-01-05:10,39.02
2021-06-01-05:25,39.1
2021-06-01-05:40,40.0
2021-06-01-05:55,39.54
2021-06-01-06:10,39.04
2021-06-01-06:25,39.31
2021-06-01-06:40,39.81
2021-06-01-06:55,39.18
2021-06-01-07:10,39.65
2021-06-01-07:25,39.93
2021-06-01-07:40,39.75
2021-06-01-07:55,39.12
2021-06-01-08:10,39.97
2021-06-01-08:25,39.4
2021-06-01-08:40,39.72
2021-06-01-08:55,39.58
2021-06-01-09:10,39.73
2021-06-01-09:25,39.43
2021-06-01-09:40,39.8
2021-06-01-09:55,39.29
2021-06-01-10:10,39.86
2021-06-01-10:25,39.86
2021-06-01-10:40,39.71
2021-06-01-10:55,39.53
2021-06-01-11:10,39.87
2021-06-01-11:25,39.36
2021-06-01-11:40,39.78
2021-06-01-11:55,39.37
2021-06-01-12:10,39.76
2021-06-01-12:25,39.49
2021-06-01-12:40,39.6
2021-06-01-12:55,39.65
2021-06-01-13:10,39.93
2021-06-01-13:25,39.42
2021-06-01-13:40,39.47
2021-06-01-13:55,39.67
2021-06-01-14:10,39.33
2021-06-01-14:25,39.7
2021-06-01-14:40,39.95
2021-06-01-14:55,39.74
2021-06-01-15:10,39.57
2021-06-01-15:25,39.46
2021-06-01-15:40,39.83
2021-06-01-15:55,39.8
2021-06-01-16:10,39.42
2021-06-01-16:25,39.43
2021-06-01-16:40,39.93
2021-06-01-16:55,39.89
2021-06-01-17:10,39.21
2021-06-01-17:25,39.01
2021-06-01-17:40,39.33
2021-06-01-17:55,39.15
2021-06-01-18:10,39.17
2021-06-01-18:25,39.09
2021-06-01-18:40,39.23
2021-06-01-18:55,39.92
2021-06-01-19:10,39.44
2021-06-01-19:25,39.53
2021-06-01-19:40,39.36
2021-06-01-19:55,39.07
2021-06-01-20:10,39.67
2021-06-01-20:25,39.2
2021-06-01-20:40,39.46
2021-06-01-20:55,39.12
2021-06-01-21:10,39.28
2021-06-01-21:25,39.38
2021-06-01-21:40,39.66
2021-06-01-21:55,39.27
2021-06-01-22:10,39.44
2021-06-01-22:25,39.67
2021-06-01-22:40,39.79
2021-06-01-22:55,39.57
2021-06-01-23:10,39.73
2021-06-01-23:25,39.89
2021-06-01-23:40,39.89
2021-06-01-23:55,40.0
2021-06-02-00:10,39.2
2021-06-02-00:25,39.27
2021-06-02-00:40,39.33
2021-06-02-00:55,39.65
2021-06-02-01:10,39.91
2021-06-02-01:25,39.89
2021-06-02-01:40,39.82
2021-06-02-01:55,39.31
2021-06-02-02:10,39.88
2021-06-02-02:25,39.14
2021-06-02-02:40,39.64
2021-06-02-02:55,39.02
2021-06-02-03:10,39.36
2021-06-02-03:25,39.67
2021-06-02-03:40,39.04
2021-06-02-03:55,39.18
2021-06-02-04:10,39.12
2021-06-02-04:25,39.02
2021-06-02-04:40,39.32
2021-06-02-04:55,39.14
2021-06-02-05:10,39.84
2021-06-02-05:25,39.8
2021-06-02-05:40,39.88
2021-06-02-05:55,39.93
2021-06-02-06:10,39.98
2021-06-02-06:25,39.94
2021-06-02-06:40,39.33
2021-06-02-06:55,39.12
2021-06-02-07:10,39.24
2021-06-02-07:25,39.97
2021-06-02-07:40,39.58
2021-06-02-07:55,39.54
2021-06-02-08:10,39.54
2021-06-02-08:25,39.54
2021-06-02-08:40,39.63
2021-06-02-08:55,39.77
2021-06-02-09:10,39.77
2021-06-02-09:25,39.6
2021-06-02-09:40,39.12
2021-06-02-09:55,39.73
2021-06-02-10:10,39.01
2021-06-02-10:25,39.07
2021-06-02-10:40,39.53
2021-06-02-10:55,39.46
2021-06-02-11:10,39.04
2021-06-02-11:25,39.19
2021-06-02-11:40,39.79
2021-06-02-11:55,39.8
2021-06-02-12:10,39.67
2021-06-02-12:25,39.2
2021-06-02-12:40,39.38
2021-06-02-12:55,39.03
2021-06-02-13:10,39.65
2021-06-02-13:25,39.07
2021-06-02-13:40,39.5
2021-06-02-13:55,39.51
2021-06-02-14:10,39.14
2021-06-02-14:25,39.69
2021-06-02-14:40,39.87
2021-06-02-14:55,39.02
2021-06-02-15:10,39.8
2021-06-02-15:25,39.14
2021-06-02-15:40,39.97
2021-06-02-15:55,39.11
2021-06-02-16:10,39.46
2021-06-02-16:25,39.8
2021-06-02-16:40,39.64
2021-06-02-16:55,39.69
2021-06-02-17:10,39.93
2021-06-02-17:25,39.99
2021-06-02-17:40,39.99
2021-06-02-17:55,39.4
2021-06-02-18:10,39.13
2021-06-02-18:25,39.88
2021-06-02-18:40,39.95
2021-06-02-18:55,39.39
2021-06-02-19:10,39.26
2021-06-02-19:25,39.15
2021-06-02-19:40,39.36
2021-06-02-19:55,39.79
2021-06-02-20:10,39.72
2021-06-02-20:25,39.47
2021-06-02-20:40,39.44
2021-06-02-20:55,39.61
2021-06-02-21:10,39.46
2021-06-02-21:25,39.89
2021-06-02-21:40,39.56
2021-06-02-21:55,39.25
2021-06-02-22:10,39.86
2021-06-02-22:25,39.63
2021-06-02-22:40,39.24
2021-06-02-22:55,39.73
2021-06-02-23:10,39.84
2021-06-02-23:25,39.15
2021-06-02-23:40,39.41
2021-06-02-23:55,39.29
2021-06-03-00:10,39.28
2021-06-03-00:25,39.05
2021-06-03-00:40,39.01
2021-06-03-00:55,39.87
2021-06-03-01:10,39.06
2021-06-03-01:25,39.05
2021-06-03-01:40,39.73
2021-06-03-01:55,39.17
2021-06-03-02:10,39.55
2021-06-03-02:25,39.68
2021-06-03-02:40,39.64
2021-06-03-02:55,39.97
2021-06-03-03:10,39.87
2021-06-03-03:25,39.65
2021-06-03-03:40,39.96
2021-06-03-03:55,39.9
2021-06-03-04:10,39.86
2021-06-03-04:25,39.35
2021-06-03-04:40,39.11
2021-06-03-04:55,39.81
2021-06-03-05:10,39.28
2021-06-03-05:25,39.68
2021-06-03-05:40,39.05
2021-06-03-05:55,39.25
2021-06-03-06:10,39.14
2021-06-03-06:25,39.27
2021-06-03-06:40,39.83
2021-06-03-06:55,39.91
2021-06-03-07:10,39.52
2021-06-03-07:25,39.13
2021-06-03-07:40,39.04
2021-06-03-07:55,39.39
2021-06-03-08:10,39.99
2021-06-03-08:25,39.7
2021-06-03-08:40,39.49
2021-06-03-08:55,39.49
2021-06-03-09:10,39.79
2021-06-03-09:25,39.23
2021-06-03-09:40,39.17
2021-06-03-09:55,39.71
2021-06-03-10:10,39.11
2021-06-03-10:25,39.46
2021-06-03-10:40,39.67
2021-06-03-10:55,39.46
2021-06-03-11:10,39.62
2021-06-03-11:25,39.37
2021-06-03-11:40,39.19
2021-06-03-11:55,39.13
2021-06-03-12:10,39.2
2021-06-03-12:25,39.57
2021-06-03-12:40,39.76
2021-06-03-12:55,39.44
2021-06-03-13:10,39.37
2021-06-03-13:25,39.85
2021-06-03-13:40,39.94
2021-06-03-13:55,39.96
2021-06-03-14:10,39.95
2021-06-03-14:25,39.88
2021-06-03-14:40,39.22
2021-06-03-14:55,39.43
2021-06-03-15:10,39.71
2021-06-03-15:25,39.12
2021-06-03-15:40,39.24
