Time,Humditiy
2022-10-01-0:7,46.49
2022-10-01-0:22,48.66
2022-10-01-0:37,53.07
2022-10-01-0:52,42.75
2022-10-01-1:7,40.26
2022-10-01-1:22,43.86
2022-10-01-1:37,50.95
2022-10-01-1:53,53.9
2022-10-01-2:8,48.86
2022-10-01-2:23,52.21
2022-10-01-2:38,43.56
2022-10-01-2:53,53.84
2022-10-01-3:8,47.33
2022-10-01-3:23,50.14
2022-10-01-3:38,45.99
2022-10-01-3:53,51.22
2022-10-01-4:8,52.69
2022-10-01-4:23,51.14
2022-10-01-4:38,40.64
2022-10-01-4:53,48.27
2022-10-01-5:8,40.42
2022-10-01-5:23,53.04
2022-10-01-5:38,50.96
2022-10-01-5:53,49.96
2022-10-01-6:8,52.84
2022-10-01-6:23,51.72
2022-10-01-6:38,44.88
2022-10-01-6:53,51.35
2022-10-01-7:8,44.25
2022-10-01-7:24,47.1
2022-10-01-7:39,50.98
2022-10-01-7:54,48.35
2022-10-01-8:9,41.61
2022-10-01-8:24,51.12
2022-10-01-8:39,45.66
2022-10-01-8:54,43.73
2022-10-01-9:9,50.91
2022-10-01-9:24,44.49
2022-10-01-9:39,40.8
2022-10-01-9:54,42.45
2022-10-01-10:9,42.76
2022-10-01-10:24,48.41
2022-10-01-10:39,44.28
2022-10-01-10:54,41.95
2022-10-01-11:9,45.27
2022-10-01-11:24,51.31
2022-10-01-11:39,48.65
2022-10-01-11:55,43.17
2022-10-01-12:10,47.68
2022-10-01-12:25,53.9
2022-10-01-12:40,48.32
2022-10-01-12:55,48.92
2022-10-01-13:10,48.27
2022-10-01-13:25,53.32
2022-10-01-13:40,53.64
2022-10-01-13:55,54.53
2022-10-01-14:10,46.29
2022-10-01-14:25,51.42
2022-10-01-14:40,41.2
2022-10-01-14:55,52.4
2022-10-01-15:10,45.95
2022-10-01-15:25,40.97
2022-10-01-15:40,53.32
2022-10-01-15:55,47.26
2022-10-01-16:10,44.31
2022-10-01-16:25,42.13
2022-10-01-16:40,41.36
2022-10-01-16:55,42.07
2022-10-01-17:10,42.25
2022-10-01-17:25,42.08
2022-10-01-17:41,47.24
2022-10-01-17:56,44.65
2022-10-01-18:11,54.75
2022-10-01-18:26,43.44
2022-10-01-18:41,54.75
2022-10-01-18:56,54.1
2022-10-01-19:11,53.01
2022-10-01-19:26,43.59
2022-10-01-19:41,43.41
2022-10-01-19:56,43.9
2022-10-01-20:11,41.75
2022-10-01-20:26,54.13
2022-10-01-20:41,53.89
2022-10-01-20:56,48.52
2022-10-01-21:11,40.15
2022-10-01-21:27,50.7
2022-10-01-21:42,46.2
2022-10-01-21:57,44.48
2022-10-01-22:12,43.71
2022-10-01-22:27,40.51
2022-10-01-22:42,46.17
2022-10-01-22:57,41.68
2022-10-01-23:12,54.0
2022-10-01-23:27,45.77
2022-10-01-23:42,40.1
2022-10-01-23:57,54.85
2022-10-02-0:7,48.02
2022-10-02-0:22,48.91
2022-10-02-0:37,42.66
2022-10-02-0:52,48.85
2022-10-02-1:7,52.07
2022-10-02-1:22,43.78
2022-10-02-1:37,53.49
2022-10-02-1:53,41.07
2022-10-02-2:8,51.84
2022-10-02-2:23,44.79
2022-10-02-2:38,45.49
2022-10-02-2:53,49.92
2022-10-02-3:8,51.69
2022-10-02-3:23,43.75
2022-10-02-3:38,49.02
2022-10-02-3:53,49.59
2022-10-02-4:8,48.05
2022-10-02-4:23,46.38
2022-10-02-4:38,47.46
2022-10-02-4:53,53.87
2022-10-02-5:8,50.11
2022-10-02-5:23,54.51
2022-10-02-5:38,40.05
2022-10-02-5:53,52.98
2022-10-02-6:8,52.41
2022-10-02-6:23,44.8
2022-10-02-6:38,51.45
2022-10-02-6:53,40.36
2022-10-02-7:8,51.66
2022-10-02-7:24,41.46
2022-10-02-7:39,50.18
2022-10-02-7:54,50.69
2022-10-02-8:9,53.56
2022-10-02-8:24,43.36
2022-10-02-8:39,52.66
2022-10-02-8:54,51.52
2022-10-02-9:9,42.95
2022-10-02-9:24,46.01
2022-10-02-9:39,51.6
2022-10-02-9:54,44.54
2022-10-02-10:9,44.86
2022-10-02-10:24,45.56
2022-10-02-10:39,52.81
2022-10-02-10:54,54.19
2022-10-02-11:9,46.04
2022-10-02-11:24,45.12
2022-10-02-11:39,41.62
2022-10-02-11:55,47.64
2022-10-02-12:10,45.49
2022-10-02-12:25,42.55
2022-10-02-12:40,42.71
2022-10-02-12:55,45.73
2022-10-02-13:10,47.79
2022-10-02-13:25,43.25
2022-10-02-13:40,42.7
2022-10-02-13:55,53.11
2022-10-02-14:10,54.71
2022-10-02-14:25,47.61
2022-10-02-14:40,52.99
2022-10-02-14:55,44.66
2022-10-02-15:10,51.72
2022-10-02-15:25,49.02
2022-10-02-15:40,52.89
2022-10-02-15:55,41.58
2022-10-02-16:10,52.36
2022-10-02-16:25,48.48
2022-10-02-16:40,47.95
2022-10-02-16:55,53.84
2022-10-02-17:10,49.72
2022-10-02-17:25,44.24
2022-10-02-17:41,46.48
2022-10-02-17:56,45.4
2022-10-02-18:11,49.51
2022-10-02-18:26,46.71
2022-10-02-18:41,42.13
2022-10-02-18:56,45.85
2022-10-02-19:11,50.88
2022-10-02-19:26,45.81
2022-10-02-19:41,49.6
2022-10-02-19:56,52.29
2022-10-02-20:11,42.13
2022-10-02-20:26,47.05
2022-10-02-20:41,48.18
2022-10-02-20:56,49.52
2022-10-02-21:11,50.5
2022-10-02-21:27,49.32
2022-10-02-21:42,52.88
2022-10-02-21:57,47.21
2022-10-02-22:12,44.84
2022-10-02-22:27,48.54
2022-10-02-22:42,44.76
2022-10-02-22:57,44.26
2022-10-02-23:12,47.73
2022-10-02-23:27,51.67
2022-10-02-23:42,52.8
2022-10-02-23:57,45.47
2022-10-03-0:7,53.56
2022-10-03-0:22,43.02
2022-10-03-0:37,45.57
2022-10-03-0:52,47.36
2022-10-03-1:7,49.32
2022-10-03-1:22,40.55
2022-10-03-1:37,49.26
2022-10-03-1:53,47.06
2022-10-03-2:8,42.26
2022-10-03-2:23,54.15
2022-10-03-2:38,46.08
2022-10-03-2:53,46.4
2022-10-03-3:8,54.42
2022-10-03-3:23,52.3
2022-10-03-3:38,52.88
2022-10-03-3:53,43.11
2022-10-03-4:8,41.21
2022-10-03-4:23,50.53
2022-10-03-4:38,46.06
2022-10-03-4:53,40.54
2022-10-03-5:8,46.73
2022-10-03-5:23,54.28
2022-10-03-5:38,51.09
2022-10-03-5:53,40.4
2022-10-03-6:8,42.08
2022-10-03-6:23,52.16
2022-10-03-6:38,47.56
2022-10-03-6:53,53.55
2022-10-03-7:8,46.72
2022-10-03-7:24,41.55
2022-10-03-7:39,40.02
2022-10-03-7:54,47.97
2022-10-03-8:9,40.3
2022-10-03-8:24,52.61
2022-10-03-8:39,41.35
2022-10-03-8:54,52.99
2022-10-03-9:9,47.22
2022-10-03-9:24,52.14
2022-10-03-9:39,54.39
2022-10-03-9:54,49.64
2022-10-03-10:9,49.65
2022-10-03-10:24,45.99
2022-10-03-10:39,47.36
2022-10-03-10:54,50.38
2022-10-03-11:9,43.32
2022-10-03-11:24,44.14
2022-10-03-11:39,53.07
